OBJECTID,Shape__Are,Shape__Len,Land Use,GlobalID,CreationDate,Creator,EditDate,Editor,Area,Shape__Area,Shape__Length
1,"11,955.099",0.052,Unclassified,3a8632e5-eee8-4a7d-8daa-f1b536a6844a,,,,,,"49,992,088.22","219,277.71"
2,,,Urban,83b4598d-e3a9-460d-97cb-3d3ac60e3f4c,"8/4/2023, 10:35 AM",dingyi_uhm,"12/2/2024, 10:20 AM",dingyi_uhm,,"1,315,477.51","11,786.31"
3,,,Urban,1f27ae92-b557-4d7b-aaf0-372167cc2330,"8/4/2023, 10:35 AM",dingyi_uhm,"8/4/2023, 10:35 AM",dingyi_uhm,,"219,787.60","1,821.77"
4,"11,955.099",0.052,Sugar Planatation Area,cc5873d9-4644-4c1f-9b7e-b98911c301a0,,,,,,"80,965,050.84","116,311.29"
5,,,Military,bb6e50f5-a68a-4d76-90bf-51955c760791,,,,,1,"1,869,971.17","6,932.05"
6,,,Military,1c83d979-3c9c-421d-a46b-8daa718c9b44,,,,,1,"2,593,765.55","13,212.37"
7,,,Military,07689b71-feb2-4e14-a94f-eb4d7526b5b4,,,,,1,"1,849,293.23","5,425.11"
8,,,Military,74b7ce4d-e552-4e4f-bf23-a8b491a9fbb5,,,,,0,"269,121.25","5,947.19"
