OBJECTID,Shape_Leng,Land Use,Shape__Area,Shape__Length
1,1.147480,Unclassified,"65,370,078.67","148,877.92"
2,,Military,"55,659,441.96","146,008.59"
3,,Urban,"16,912,117.83","93,761.63"
4,,Agriculture,"569,713.03","3,251.84"
