OBJECTID,Shape_Leng,Land Use,Shape__Area,Shape__Length,Area
1,1.147480,Unclassified,"135,099,556.98","148,256.35","116,588,581"
2,,Agriculture,"625,947.70","4,195.87","540,204"
3,,Settlement,"172,626.89","2,336.52","148,975"
4,,Settlement,"31,600.97",924.07,"27,286"
5,,Agriculture,"2,351,509.49","10,316.52","2,028,693"
6,,Settlement,"148,226.79","3,733.51","127,887"
7,,Settlement,"80,535.61","1,301.13","69,554"
