geoid20,tractname,HA_Urban,HA_Conservation,HA_Unclassified,HA_Agriculture,HA_NA,HA_,PCT_Urban,PCT_Conservation,PCT_Unclassified,PCT_Agriculture,PCT_NA,PCT_
15003006704,Moanalua Valley,11.08932590082254,0,0,0,0,0,100.00000676761165,0,0,0,0,0
15003006806,Ala Lilikoi,50.48630545479152,1.429275918292027,0,0,0,0,97.2469235096096,2.753076990843273,0,0,0,0
15003006810,Aliamanu Makai,85.66729369322394,21.422436043111936,0,0,0,0,79.99580710237444,20.004192819543754,0,0,0,0
15003006811,Aliamanu Mauka,42.89836312109003,16.162584272393346,0,0,0,0,72.63405596375827,27.365940449667857,0,0,0,0
15003006813,Honolulu Country Club,34.78228454115797,33.194805907912766,0,0,0,0,51.16765894030879,48.83234467465723,0,0,0,0
15003006814,Ala Ilima Street-Ala Lilikoi Street,6.226362515970635,0,0,0,0,0,100.00000767735095,0,0,0,0,0
15003006816,Likini Street-Aila Street,22.611260978309325,0,0,0,0,0,99.99999999955487,0,0,0,0,0
15003006817,Likini Street-Maluna Street,49.59528290843386,0.183548811004158,0,0,0,0,99.63127101010873,0.368728642328778,0,0,0,0
15003006818,Hoa Aloha Neighborhood Park,3.089749447559146,5.177888991816611,0,0,0,0,37.37160692160458,62.62838957338128,0,0,0,0
15003006819,Likini Street-Ala Nani Street,0.209357110758067,0.822258778590165,0,0,0,0,20.294089274637447,79.70588149187162,0,0,0,0
15003006900,Arizona Road,7.771240100670704,0,0,0,0,0,99.99992626870812,0,0,0,0,0
15003007001,Navy Exchange Mall,146.02014846598618,0,0,0,0,0,100.00000000000338,0,0,0,0,0
15003007002,Aliamanu Middle & Elementary School,161.7397194232079,0,0,0,0,0,100.00000000000627,0,0,0,0,0
15003007100,Nimitz Elementary School,133.66549692208653,0,0,0,0,0,100.00000000019644,0,0,0,0,0
15003007302,Hangar Avenue-Vickers Avenue,298.7353267950541,0,1.599753255003754,0,0,0,99.46734273382104,0,0.532656137498495,0,0,0
15003007400,Ford Island,713.5609766335734,40.11085598417701,1.970772243331137,0,0,0,94.43101946122012,5.308178482401896,0.260807468678604,0,0,0
15003007504,Aloha Stadium,117.09715887296421,0.008564278863474,0,0,0,0,99.99268678667342,0.007313288060884,0,0,0,0
15003007507,Camp H.M. Smith,412.5993073380928,14.934617162148884,0,0,0,0,96.50679832258487,3.493200451040726,0,0,0,0
15003007508,Stadium Mall,208.9458262940633,4.757102707791453,0,0,0,0,97.77396450040807,2.226035329472441,0,0,0,0
15003007701,Lower Aiea,135.99523424353845,0,0.008940296101575,0,0,0,99.99342497038396,0,0.006573545260012,0,0,0
15003007702,Aiea Heights,230.59054837238236,32.649130931956364,0,0,0,0,87.5971833567874,12.402814984713732,0,0,0,0
15003007804,Lower Pearl City,49.402378195535505,0,0,0,0,0,100.0000000001905,0,0,0,0,0
15003007807,Pearl Ridge High Rise,38.511775739902134,0,0,0,0,0,99.99999999967986,0,0,0,0,0
15003007808,Pearlridge Center,99.50908317391304,5.005415336450287,13.359167759339517,0,0,0,84.42011257110937,4.246423669985806,11.333462334576431,0,0,0
15003007809,Newtown,83.54012945105379,113.21671732398487,0.580512190972726,0,0,0,42.333662006903786,57.372166840283555,0.294172477885915,0,0,0
15003007812,Newtown Neighborhood Park,78.93300943632569,0.458812249897933,0,0,0,0,99.42209126745098,0.577908706506051,0,0,0,0
15003007813,Waiau Elementary School,56.76886389545186,0,0,0,0,0,99.99999999990006,0,0,0,0,0
15003007814,Nahele Neighborhood Park,96.12242991239519,44.71089770817902,0,0,0,0,68.25261658912308,31.747384678197037,0,0,0,0
15003007815,Pearl City High School,95.86183195576098,28.234702505191837,0,0.469910160736419,0,0,77.2477918158178,22.752208846886464,0,0.378665017433176,0,0
15003007816,Kaonohi Street,162.22662072433175,73.25334557504074,0,0,0,0,68.89190072039901,31.108101668272457,0,0,0,0
15003007817,Pono Street,68.25402203812558,6.849867763964667,6.773854361478374,0,0,0,83.36089656893373,8.365970255405236,8.273132570631535,0,0,0
15003008001,Hale Mohalu Hospital,112.16705551217068,0,6.799914209987003,0,0,0,94.28419775449188,0,5.715800001707533,0,0,0
15003008002,Lower Waiau,134.10301308902757,0,0,0,0,0,99.99999999993119,0,0,0,0,0
15003008005,Pacific Palisades,21.78078179292068,0,0,0,0,0,100.00001554852037,0,0,0,0,0
15003008008,Manana Housing,52.48475134780794,0,0.002250422229557,0,0,0,99.9957123540469,0,0.004287580071603,0,0,0
15003008009,Pearl Highlands Center,101.70423212536889,0,4.466353573842661,0.092098828994557,0,0,95.71020390370012,0,4.203125104288282,0.086670903640423,0,0
15003008010,Waimano Home Rd Hoomoana St,55.29736316863677,0,0,0,0,0,100.00000000000944,0,0,0,0,0
15003008011,Manana Elementary School,147.01347429478108,0.283478471120115,8.081046981422096,0.001946577232184,0,0,94.61547460624344,0.182442121134431,5.200830054049986,0.001252785362459,0,0
15003008012,Pearl City Highlands Elementary School,85.88304952420164,0,0,0,0,0,99.99999999988553,0,0,0,0,0
15003008013,Waimano Home Road-Komo Mai Drive,75.41464701926738,0.008766804126257,0,0,0,0,99.98837628916768,0.011623451736181,0,0,0,0
15003008301,Iroquois Point,1138.0681708660454,0,15.635801479784604,436.7961103559309,0,0,71.5541095763052,0,0.983074547763229,27.46281597448432,0,0
15003008302,Campbell High School,159.46454857455555,0,0.391826026999216,1.867494383234144,0,0,98.60297661968555,0,0.242280888915724,1.15474258481557,0,0
15003008405,Holomua School,0,0,0,115.49851122416264,0,0,0,0,0,100.00000000004331,0,0
