FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,Estimated Population,M_TOTPOP,Housing units ,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,Person aged 65 or older,M_AGE65,Person aged 17 or younger,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSU,SPL_THEME1,Socioeconomic Status - Percentile Ranking,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,Household Characteristics Percentile Ranking,EPL_MINRTY,SPL_THEME3,Racial & Ethnic Minority Status Percentile Ranking,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,Housing Type & Transportation Percentile Ranking,SPL_THEMES,Overall Percentile Ranking,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRAC,M_OTHERRAC,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRA,MP_OTHERRA,Shape_Leng,Shape_Le_1,Chemical Exposure Count,Shape__Area,Shape__Length
73,15,Hawaii,HI,15003,Honolulu,15003008938,"Census Tract 89.38, Honolulu County, Hawaii",0.118392,3742,914,667,55,646,69,1041,444,148,87,274,98,301,123,374,171,406,130,1091,324,485,148,123,70,397,222,3636,1060,161,67,9,15,244,97,81,59,149,69,28.200000,9.800000,7.600000,3.400000,42.400000,14.500000,13.400000,6.300000,10.100000,4.200000,10.800000,4.000000,29.200000,4.900000,13.100000,4.100000,19.000000,10.600000,11.900000,5.900000,97.200000,15.500000,24.100000,9.800000,1.300000,2.300000,37.800000,14.500000,12.500000,9.100000,4.000000,1.600000,0.896500,0.793800,0.863500,0.877600,0.962000,4.393400,0.988100,0.150600,0.880000,0.684100,0.985900,0.920000,3.620600,0.971500,0.945900,0.945900,0.945900,0.698800,0.931100,0.985900,0.800500,0.872900,4.289200,0.992900,13.249100,1.000000,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,1,1,0,0,2,6,2139,588,1354,23,36,503,335,1068,362,0,12,1538,908,504,234,0,12,16.400000,4.200000,0.600000,1.000000,13.400000,9.500000,28.500000,10.300000,0.000000,0.900000,41.100000,16.300000,13.500000,7.000000,0.000000,0.900000,0.023088,0.023088,1,355299.488281,2632.676294
74,15,Hawaii,HI,15003,Honolulu,15003008946,"Census Tract 89.46, Honolulu County, Hawaii",0.226460,2569,410,1130,144,1076,157,130,76,14,20,263,90,59,62,86,59,598,194,284,94,418,181,32,27,87,80,2293,439,38,35,0,12,31,39,34,40,14,10,5.100000,2.900000,1.000000,1.400000,24.400000,7.600000,2.800000,2.900000,3.500000,2.400000,23.300000,6.300000,11.100000,3.200000,17.200000,6.100000,3.000000,2.500000,3.400000,3.100000,89.300000,9.400000,3.400000,3.100000,0.000000,2.800000,2.900000,3.600000,3.200000,3.700000,0.500000,0.400000,0.164700,0.118500,0.437600,0.207100,0.567700,1.495600,0.178100,0.727100,0.103500,0.893100,0.425900,0.583500,2.733100,0.631800,0.701200,0.701200,0.701200,0.444700,0.000000,0.214100,0.425200,0.574100,1.658100,0.339700,6.588000,0.370500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,139,547,31,28,273,149,1432,372,0,12,101,91,430,147,26,41,5.400000,0.900000,1.200000,1.100000,10.600000,5.800000,55.700000,9.300000,0.000000,1.300000,3.900000,3.500000,16.700000,5.300000,1.000000,1.500000,0.035947,0.025368,0,455270.507813,2939.827898
75,15,Hawaii,HI,15003,Honolulu,15003008948,"Census Tract 89.48, Honolulu County, Hawaii",0.241241,2626,333,1115,132,1044,132,166,118,14,16,149,73,91,49,47,54,559,184,460,199,336,97,21,24,66,59,2433,380,131,70,0,12,63,53,52,46,0,12,6.300000,4.400000,1.000000,1.200000,14.300000,6.800000,4.500000,2.400000,1.800000,2.100000,21.300000,7.500000,17.500000,7.200000,12.900000,3.900000,2.000000,2.300000,2.700000,2.400000,92.700000,8.400000,11.700000,6.100000,0.000000,2.900000,6.000000,5.000000,5.000000,4.300000,0.000000,0.500000,0.216500,0.118500,0.160000,0.392900,0.273200,1.161100,0.097400,0.604700,0.352900,0.662700,0.301200,0.510600,2.432100,0.453700,0.818800,0.818800,0.818800,0.560000,0.000000,0.454100,0.551100,0.000000,1.565200,0.315900,5.977200,0.261300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585,118,483,0,12,189,138,1616,276,0,12,175,161,453,153,0,12,4.500000,0.600000,0.000000,1.200000,7.200000,5.000000,61.500000,8.600000,0.000000,1.200000,6.700000,6.000000,17.300000,5.300000,0.000000,1.200000,0.032871,0.026661,0,539269.921875,3077.982627
76,15,Hawaii,HI,15003,Honolulu,15003008949,"Census Tract 89.49, Honolulu County, Hawaii",0.281340,1949,661,739,197,712,202,35,54,0,12,177,121,0,12,17,28,302,174,364,154,222,185,9,18,8,48,1787,523,34,41,0,12,36,59,0,12,0,12,1.800000,2.700000,0.000000,3.100000,24.900000,15.500000,0.000000,2.200000,1.000000,1.600000,15.500000,5.200000,18.700000,4.700000,12.500000,6.700000,1.300000,2.500000,0.400000,2.600000,91.700000,41.100000,4.600000,5.400000,0.000000,4.300000,5.100000,8.200000,0.000000,4.500000,0.000000,0.600000,0.040000,0.000000,0.456500,0.000000,0.152000,0.648500,0.026100,0.305900,0.428200,0.629500,0.202400,0.103500,1.669500,0.097400,0.778800,0.778800,0.778800,0.480000,0.000000,0.390600,0.000000,0.000000,0.870600,0.114000,3.967400,0.045100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,103,938,34,49,217,162,1024,407,0,12,0,12,512,282,0,12,5.300000,1.900000,1.700000,2.600000,11.100000,8.700000,52.500000,8.400000,0.000000,1.700000,0.000000,1.700000,26.300000,8.500000,0.000000,1.700000,0.033304,0.033304,0,823212.562500,3817.911914
77,15,Hawaii,HI,15003,Honolulu,15003008950,"Census Tract 89.50, Honolulu County, Hawaii",0.160236,1994,449,529,75,529,75,170,156,53,52,12,29,39,46,43,49,276,190,384,179,137,89,21,37,188,237,1936,623,0,16,0,12,15,27,0,12,0,12,8.500000,7.600000,4.700000,4.400000,2.300000,5.500000,3.000000,3.300000,2.200000,2.400000,13.800000,8.200000,19.300000,7.900000,6.900000,4.000000,4.000000,7.000000,9.600000,11.900000,97.100000,22.300000,0.000000,3.000000,0.000000,6.000000,2.800000,5.100000,0.000000,6.000000,0.000000,0.600000,0.320000,0.616100,0.016500,0.237600,0.353900,1.544100,0.192400,0.235300,0.472900,0.125900,0.543500,0.875300,2.252900,0.330200,0.941200,0.941200,0.941200,0.000000,0.000000,0.197600,0.000000,0.000000,0.197600,0.021400,4.935800,0.116400,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,530,207,674,0,12,266,196,1290,515,0,12,217,266,163,119,0,12,10.400000,2.400000,0.000000,1.600000,13.300000,10.900000,64.700000,17.400000,0.000000,1.600000,10.900000,13.000000,8.200000,6.300000,0.000000,1.600000,0.049159,0.049159,0,535606.511719,5675.700916
78,15,Hawaii,HI,15003,Honolulu,15003008951,"Census Tract 89.51, Honolulu County, Hawaii",0.112338,1366,432,557,161,539,162,35,54,105,98,35,57,33,36,9,14,295,143,67,74,91,64,0,16,6,48,1132,416,0,16,0,12,0,16,0,12,0,12,2.600000,3.900000,13.000000,11.100000,6.500000,10.400000,2.700000,2.900000,0.700000,1.100000,21.600000,12.000000,4.900000,5.200000,7.000000,5.600000,0.000000,3.000000,0.400000,3.500000,82.900000,15.500000,0.000000,2.900000,0.000000,5.700000,0.000000,3.000000,0.000000,5.800000,0.000000,0.900000,0.058800,0.955000,0.037600,0.195300,0.104500,1.351200,0.140100,0.618800,0.025900,0.140100,0.000000,0.103500,0.888300,0.007100,0.491800,0.491800,0.491800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.731300,0.004800,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,51,624,41,54,43,45,895,397,0,12,39,47,114,90,0,12,3.700000,1.300000,3.000000,4.400000,3.100000,3.100000,65.500000,16.000000,0.000000,2.300000,2.900000,3.600000,8.300000,7.300000,0.000000,2.300000,0.019711,0.019711,0,322201.062500,2290.344980
79,15,Hawaii,HI,15003,Honolulu,15003008952,"Census Tract 89.52, Honolulu County, Hawaii",1.546782,5297,654,2137,145,2051,172,394,280,5,9,551,184,122,88,121,115,788,256,813,318,639,222,69,71,126,113,4293,742,146,66,0,17,76,78,14,24,0,17,7.400000,5.200000,0.200000,0.300000,26.900000,8.700000,2.900000,2.100000,2.400000,2.300000,14.900000,4.800000,15.300000,5.700000,12.800000,3.800000,3.400000,3.400000,2.500000,2.300000,81.000000,9.800000,6.800000,3.100000,0.000000,1.500000,3.700000,3.800000,0.700000,1.200000,0.000000,0.300000,0.275300,0.054500,0.517600,0.225900,0.382400,1.455700,0.168600,0.277600,0.256500,0.655600,0.475300,0.487100,2.152100,0.282700,0.451800,0.451800,0.451800,0.522400,0.000000,0.275300,0.140100,0.000000,0.937800,0.128300,4.997400,0.128300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,204,943,55,52,471,304,2424,403,0,17,367,333,976,427,0,17,3.900000,0.500000,1.000000,1.000000,8.900000,5.300000,45.800000,8.300000,0.000000,0.600000,6.900000,6.200000,18.400000,7.200000,0.000000,0.600000,0.149599,0.124566,0,3416680.273438,14290.958176
80,15,Hawaii,HI,15003,Honolulu,15003011401,"Census Tract 114.01, Honolulu County, Hawaii",0.786094,2006,314,864,162,841,164,275,141,35,26,426,126,6,9,0,12,12,17,550,102,118,60,43,33,7,47,1201,340,11,12,0,12,16,25,6,10,0,12,13.700000,6.700000,7.600000,5.600000,50.700000,11.300000,0.500000,0.900000,0.000000,2.500000,0.600000,0.900000,27.400000,2.700000,9.100000,4.600000,5.100000,3.800000,0.400000,2.900000,59.900000,14.100000,1.300000,1.400000,0.000000,3.700000,1.900000,2.900000,0.700000,1.200000,0.000000,0.600000,0.534100,0.793800,0.936500,0.054100,0.000000,2.318500,0.432300,0.044700,0.835300,0.315900,0.649400,0.103500,1.948800,0.197100,0.174100,0.174100,0.174100,0.345900,0.000000,0.143500,0.140100,0.000000,0.629500,0.068900,5.070900,0.133000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1868,0,444,276,228,618,199,82,40,0,12,138,133,87,71,0,12,0.000000,22.100000,13.800000,10.200000,30.800000,9.300000,4.100000,2.100000,0.000000,1.600000,6.900000,6.500000,4.300000,3.700000,0.000000,1.600000,0.065552,0.069678,0,2337404.824219,8053.401077
81,15,Hawaii,HI,15003,Honolulu,15003980200,"Census Tract 9802, Honolulu County, Hawaii",3.478792,537,314,0,12,0,12,0,12,0,12,0,24,64,57,0,12,26,41,0,12,0,12,0,16,26,60,424,267,0,16,0,12,0,16,0,12,537,314,0.000000,-999.000000,-999.000000,-999.000000,0.000000,-999.000000,11.900000,8.700000,-999.000000,-999.000000,4.800000,6.800000,0.000000,2.200000,-999.000000,-999.000000,0.000000,-999.000000,4.800000,10.800000,79.000000,18.400000,0.000000,-999.000000,-999.000000,-999.000000,0.000000,-999.000000,-999.000000,-999.000000,100.000000,0.000000,0.000000,-999.000000,0.000000,0.840000,-999.000000,-999.000000,-999.000000,0.070600,0.000000,-999.000000,0.000000,0.687100,-999.000000,-999.000000,0.421200,0.421200,0.421200,0.000000,-999.000000,0.000000,-999.000000,0.992900,-999.000000,-999.000000,-999.000000,-999.000000,0,-999,0,0,-999,-999,0,0,-999,0,0,-999,0,0,0,-999,0,-999,1,-999,-999,11399,0,16,12,29,48,61,165,202,0,12,50,70,149,144,0,12,0.000000,-999.000000,2.200000,5.500000,8.900000,12.500000,30.700000,31.800000,0.000000,5.900000,9.300000,12.000000,27.700000,25.100000,0.000000,5.900000,0.189447,0.049386,0,658296.187500,5710.213133
82,15,Hawaii,HI,15003,Honolulu,15003981400,"Census Tract 9814, Honolulu County, Hawaii",0.602555,4,5,11,10,4,5,0,12,0,12,4,21,0,12,0,12,0,12,0,12,0,12,0,16,0,48,0,31,0,16,0,12,0,16,0,12,0,12,0.000000,300.000000,0.000000,100.000000,100.000000,509.900000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,300.000000,0.000000,100.000000,0.000000,400.000000,0.000000,1200.000000,0.000000,775.000000,0.000000,145.500000,0.000000,89.400000,0.000000,400.000000,0.000000,100.000000,0.000000,300.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.073600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16732,0,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0.000000,175.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.153008,0.023218,0,348782.066406,2633.023493
83,15,Hawaii,HI,15003,Honolulu,15003981900,"Census Tract 9819, Honolulu County, Hawaii",3.049491,438,212,0,12,0,12,0,12,0,12,0,24,0,12,0,12,0,12,0,12,0,12,0,16,5,47,164,82,0,16,0,12,0,16,0,12,438,212,0.000000,-999.000000,-999.000000,-999.000000,0.000000,-999.000000,0.000000,32.700000,-999.000000,-999.000000,0.000000,7.100000,0.000000,2.700000,-999.000000,-999.000000,0.000000,-999.000000,1.100000,10.700000,37.400000,4.800000,0.000000,-999.000000,-999.000000,-999.000000,0.000000,-999.000000,-999.000000,-999.000000,100.000000,0.000000,0.000000,-999.000000,0.000000,0.000000,-999.000000,-999.000000,-999.000000,0.000000,0.000000,-999.000000,0.000000,0.237600,-999.000000,-999.000000,0.037600,0.037600,0.037600,0.000000,-999.000000,0.000000,-999.000000,0.992900,-999.000000,-999.000000,-999.000000,-999.000000,0,-999,0,0,-999,-999,0,0,-999,0,0,-999,0,0,0,-999,0,-999,1,-999,-999,1050,0,16,40,41,91,60,23,23,10,22,0,12,0,12,0,12,0.000000,-999.000000,9.100000,6.400000,20.800000,11.800000,5.300000,3.400000,2.300000,5.300000,0.000000,7.100000,0.000000,7.100000,0.000000,7.100000,0.129195,0.110205,0,4903764.964844,12649.472777
84,15,Hawaii,HI,15003,Honolulu,15003982200,"Census Tract 9822, Honolulu County, Hawaii",3.216206,1262,194,0,12,0,12,0,12,0,12,0,24,0,12,0,12,0,12,0,12,0,12,0,16,5,48,540,200,0,16,0,12,0,16,0,12,1262,194,0.000000,-999.000000,0.000000,49.400000,0.000000,-999.000000,0.000000,20.700000,-999.000000,-999.000000,0.000000,2.500000,0.000000,1.000000,-999.000000,-999.000000,0.000000,-999.000000,0.400000,3.800000,42.800000,14.400000,0.000000,-999.000000,-999.000000,-999.000000,0.000000,-999.000000,-999.000000,-999.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-999.000000,-999.000000,-999.000000,0.000000,0.000000,-999.000000,0.000000,0.103500,-999.000000,-999.000000,0.063500,0.063500,0.063500,0.000000,-999.000000,0.000000,-999.000000,0.992900,-999.000000,-999.000000,-999.000000,-999.000000,0,0,0,0,-999,-999,0,0,-999,0,0,-999,0,0,0,-999,0,-999,1,-999,-999,310,0,16,219,131,207,118,37,45,9,20,0,12,68,81,0,12,0.000000,-999.000000,17.400000,9.800000,16.400000,9.000000,2.900000,3.500000,0.700000,1.600000,0.000000,2.500000,5.400000,6.300000,0.000000,2.500000,0.164982,0.250921,16,9660333.355469,28928.196341
